transaction_id,amount,is_foreign,high_risk_country,previous_fraud,transaction_type,time_hour,fraud
0,57748.45,1,1,1,Online,16,1
1,86619.4,0,0,0,Online,18,0
2,16490.34,1,0,0,POS,14,0
3,45361.29,0,0,0,Online,19,1
4,74232.23,1,1,0,Online,11,0
5,4103.18,0,1,0,POS,20,0
6,32974.12,1,0,0,POS,5,0
7,61845.07,0,1,0,Online,7,0
8,90716.01,1,1,1,Online,10,1
9,20586.96,0,1,1,POS,15,0
10,49457.9,1,0,0,POS,17,1
11,78328.85,0,0,0,Online,11,1
12,8199.79,1,0,1,Online,3,1
13,37070.74,0,1,0,POS,8,0
14,65941.69,1,0,0,POS,16,0
15,94812.63,1,0,1,Online,21,1
16,24683.58,0,0,1,Online,2,0
17,53554.52,1,1,0,POS,7,0
18,82425.47,0,1,1,POS,10,1
19,12296.41,1,0,0,Online,11,0
20,41167.36,0,0,0,Online,17,0
21,70038.3,1,0,1,POS,13,1
22,98909.25,0,1,1,POS,6,1
23,28780.19,1,1,0,Online,13,1
24,57651.14,0,0,1,POS,18,0
25,86522.08,1,0,1,POS,9,0
26,16393.03,0,1,1,Online,13,0
27,45263.97,1,1,1,Online,9,0
28,74134.92,0,1,1,POS,14,1
29,4005.86,1,0,0,POS,14,1
30,32876.81,0,1,0,Online,7,0
31,61747.75,1,1,1,Online,5,1
32,90618.7,1,1,0,POS,8,1
33,20489.65,0,0,0,Online,14,0
34,49360.59,1,0,1,Online,20,0
35,78231.54,0,0,1,Online,10,1
36,8102.48,1,1,0,POS,11,0
37,36973.43,0,0,0,Online,23,0
38,65844.37,1,0,0,Online,11,0
39,94715.32,0,1,0,Online,21,0
40,24586.26,1,1,0,POS,15,0
41,53457.21,0,0,0,POS,6,1
42,82328.15,1,0,1,Online,0,1
43,12199.1,0,1,1,POS,19,0
44,41070.04,1,1,1,POS,12,1
45,69940.99,0,0,0,Online,5,1
46,98811.93,1,1,1,Online,9,1
47,28682.88,1,0,0,POS,20,1
48,57553.82,1,1,1,Online,20,0
49,86424.77,1,1,1,Online,1,1
50,16295.71,0,0,1,POS,4,0
51,45166.66,1,0,0,POS,11,1
52,74037.61,0,0,1,POS,11,1
53,3908.55,1,0,0,Online,17,1
54,32779.5,0,1,0,POS,22,0
55,61650.44,1,0,1,POS,7,0
56,90521.39,0,0,1,POS,7,0
57,20392.33,1,1,1,Online,12,1
58,49263.28,0,1,1,Online,22,1
59,78134.22,1,1,1,POS,3,1
60,8005.17,0,1,1,POS,0,1
61,36876.11,1,0,1,Online,0,1
62,65747.06,0,1,1,Online,12,0
63,94618,1,1,0,POS,21,1
64,24488.95,1,1,0,POS,5,1
65,53359.89,0,0,0,Online,5,0
66,82230.84,1,0,0,POS,20,0
67,12101.78,0,0,1,POS,16,0
68,40972.73,1,0,0,POS,10,1
69,69843.67,0,0,1,POS,4,1
70,98714.62,1,1,1,POS,12,1
71,28585.57,0,1,0,Online,3,0
